,level_0,Unnamed: 0,index,Area,Diameter (um),Volume (um3),FITC,TRITC,Alexa,FITC_b,TRITC_b,Alexa_b,Name,Source,Exp,Ratio,Ratio2
0,515,0,1,2.534,1.796215189324181,3.0344061931649824,499.87827243846823,0.0,993.55316918459,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,1.0,0.5
1,516,1,3,3.337,2.0612618370263487,4.585620500104616,214.60027243846827,32.46747476452495,1210.4031691845903,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.8685887772399148,0.3685887772399148
2,517,2,4,3.399,2.080322381880947,4.714010517342224,83.45127243846827,10.402474764524953,1096.7731691845902,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.8891629255673108,0.3891629255673108
4,519,4,7,5.253,2.586180064978812,9.056802587555795,943.1682724384682,5.723474764524951,198.9851691845901,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.9939682531949552,0.4939682531949552
5,520,5,8,6.118,2.7909997374936686,11.383557595990844,79.92027243846826,0.0,1072.2071691845902,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,1.0,0.5
7,522,7,10,13.472,4.141628079230692,37.19734232226392,74.12627243846828,10.874474764524933,1650.0991691845902,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.8720661273887955,0.3720661273887955
8,523,8,11,4.511,2.3965774734609187,7.207307321854803,70.27827243846826,2.226474764524937,1236.9781691845901,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.9692920139657694,0.46929201396576936
9,524,9,12,0.556,0.8413805244196888,0.3118717143848979,74.97127243846828,9.578474764524941,956.3291691845901,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.8867119644778093,0.3867119644778093
10,525,10,13,0.494,0.7930828046926566,0.2611886036787816,100.04027243846826,108.28647476452494,839.1481691845901,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.4802084887399946,0.01979151126000539
11,526,11,14,0.185,0.4853342309955121,0.0598578884894464,72.41527243846826,0.0,1034.7731691845902,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,1.0,0.5
12,527,12,15,2.163,1.6595231650272788,2.393032403969336,8.386272438468268,0.0,1308.4871691845901,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,1.0,0.5
13,528,13,16,2.039,1.611252752275383,2.190229574593004,166.87027243846825,60.69947476452495,1172.83416918459,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.7332708960194926,0.23327089601949258
14,529,14,17,3.584,2.1361859769998546,5.1040603610449855,40.88127243846827,8.80847476452493,1168.4281691845902,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.8227305377799482,0.3227305377799482
15,530,15,18,4.017,2.261548861112921,6.056427850060402,21.030272438468273,0.4034747645249297,1366.14216918459,156.58472756153174,159.08852523547506,174.2268308154099,R1_0h_#5,1_0_5_0001.csv,2,0.9811757243983644,0.4811757243983644
