,level_0,Unnamed: 0,index,Area,Diameter (um),Volume (um3),FITC,TRITC,Alexa,FITC_b,TRITC_b,Alexa_b,Name,Source,Exp,Ratio,Ratio2
0,433,0,0,4.326,2.3469201670539017,6.768517761783452,18.240086870623287,27.47584812950589,2172.1205854081045,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.39898750557265744,0.10101249442734256
1,434,1,2,14.09,4.235557246138747,39.78600106539663,7.410086870623303,21.671848129505918,3247.404585408104,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.2548003380995927,0.24519966190040732
2,435,2,4,5.994,2.762570873505794,11.039233210529154,11.05608687062329,11.896848129505912,2864.644585408105,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.4816851034763552,0.01831489652364482
3,436,3,7,5.067,2.539981254492456,8.580056677675513,15.486086870623296,56.7448481295059,2570.635585408105,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.21439687677579694,0.28560312322420306
4,437,4,8,10.506,3.657410922631968,25.616506102114304,61.61008687062329,34.490848129505906,2881.685585408104,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.6410976841228492,0.14109768412284918
6,439,6,11,4.079,2.278934861503226,6.1971835333811045,32.63908687062329,54.40984812950592,2445.770585408104,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.3749510188789196,0.12504898112108043
8,441,8,13,4.388,2.363678303470651,6.914546930419479,35.04208687062328,24.46984812950589,2680.1305854081047,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.5888245252073759,0.08882452520737594
9,442,9,14,3.214,2.0229166806319068,4.334436141033964,7.2070868706233,11.349848129505915,2686.6035854081047,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.3883770067941239,0.1116229932058761
11,444,11,20,2.039,1.611252752275383,2.190229574593004,18.472086870623286,21.243848129505892,2145.315585408104,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.4651051742975006,0.03489482570249941
12,445,12,21,22.618,5.366389104679227,80.91799251308984,19.942086870623285,24.178848129505894,3285.675585408105,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.4519869506519954,0.0480130493480046
14,447,14,24,4.82,2.477299861870477,7.960390222810467,13.797086870623275,4.087848129505915,2889.2765854081044,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.7714362322548901,0.2714362322548901
15,448,15,25,7.169,3.0212339029287985,14.439483900064369,824.7980868706234,1360.130848129506,673.3135854081045,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.3774942395875107,0.12250576041248928
16,449,16,26,8.528,3.2951762983945896,18.734175648472707,23.299086870623285,164.7788481295059,3071.7175854081042,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.12387995896811226,0.37612004103188773
17,450,17,27,4.697,2.445486892547384,7.657634622863374,72.23508687062329,163.0088481295059,2229.470585408105,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.3070646087882505,0.19293539121174952
18,451,18,28,1.978,1.5869681217611626,2.092681963229053,14.200086870623295,13.373848129505916,2496.141585408104,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.5149822421267314,0.014982242126731382
19,452,19,29,2.225,1.6831393249032407,2.4966566652731403,32.86308687062328,40.089848129505896,2384.5585854081046,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.45046970174078793,0.04953029825921207
20,453,20,32,3.214,2.0229166806319068,4.334436141033964,219.0920868706233,33.4658481295059,2237.814585408104,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.8674923908865156,0.36749239088651564
21,454,21,33,4.14,2.2959119571977435,6.336717001865771,136.0790868706233,91.1808481295059,2438.6975854081047,151.8309131293767,152.9381518704941,201.10841459189555,R2_5h_#3,2_5_3_0008.csv,1,0.5987816852563385,0.09878168525633846
