,level_0,Unnamed: 0,index,Area,Diameter (um),Volume (um3),FITC,TRITC,Alexa,FITC_b,TRITC_b,Alexa_b,Name,Source,Exp,Ratio,Ratio2
2,149,2,2,4.573,2.412990766263704,7.356404516082611,29.669303363032526,1710.527862787,2139.589493751874,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.01704939183912828,0.4829506081608717
3,150,3,3,9.702,3.5146792261912823,22.73294523500521,2.9373033630325267,8.919862787,3110.6144937518743,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.2477238933709695,0.2522761066290305
4,151,4,4,35.905,6.761336099745081,161.84384844089806,34.169303363032526,14.062862787,3565.092493751874,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.7084339371519079,0.20843393715190794
8,155,8,8,15.017,4.372669464216103,43.77625156275548,13.092303363032528,8.014862786999998,3396.184493751874,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.6202776474099225,0.12027764740992253
11,158,11,13,1.978,1.5869681217611626,2.092681963229053,241.8683033630325,1584.763862787,201.3054937518739,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.1324121560132246,0.3675878439867754
12,159,12,15,2.966,1.9433034991180596,3.8425587855894423,69.1703033630325,55.169862787,2740.284493751874,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.5562989459059399,0.05629894590593987
13,160,13,16,10.815,3.710806607236597,26.754915638175863,56.87030336303252,2541.433862787,1215.5024937518738,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.02188746956723645,0.4781125304327635
14,161,14,18,15.388,4.4263540430454364,45.40849067625544,21.14830336303251,28.325862787000005,3421.2234937518742,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.4274615422299262,0.07253845777007378
15,162,15,19,0.989,1.1221559204241969,0.7398748035330203,159.89930336303252,1690.231862787,4.180493751873911,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.08642592821987294,0.41357407178012706
16,163,16,20,10.567,3.668013395452157,25.839931699828632,64.87030336303252,1569.533862787,2734.7414937518743,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.039690490703924,0.460309509296076
17,164,17,22,71.562,9.545447517028087,455.394210142376,53.85230336303252,138.86586278700003,3658.0404937518742,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.27943553240906255,0.22056446759093745
18,165,18,25,24.534,5.58906602130736,91.41476384450318,34.01730336303251,805.5018627869999,3426.289493751874,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.040519984217910275,0.45948001578208975
19,166,19,26,28.489,6.022733714017253,114.387773852425,45.29830336303252,18.418862786999995,3557.141493751874,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.7109277781810044,0.2109277781810044
20,167,20,28,6.489,2.874378438164757,12.43456112350074,65.6703033630325,86.281862787,3211.110493751874,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.43217747418086716,0.06782252581913284
21,168,21,29,7.292,3.0470416407080503,14.812685096028735,69.97530336303251,9.165862787000009,3210.1614937518743,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.8841833746848795,0.3841833746848795
22,169,22,30,16.315,4.557730046015689,49.572910467163965,13.865303363032524,8.180862786999995,3469.7414937518743,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.6289212949169428,0.12892129491694282
23,170,23,31,2.101,1.6355660437562822,2.2908828386213,95.89930336303252,260.890862787,2394.423493751874,150.10069663696748,150.080137213,161.1945062481261,R2_5h_#1,2_5_1_0006.csv,1,0.2687834824536791,0.2312165175463209
