,R1_5h_2krpm,R1_5h_5.2krpm,R1_5h_16krpm,R1_5h_30krpm,R2_5h_2krpm,R2_5h_5.2krpm,R2_5h_16krpm,R2_5h_30krpm,R1_0h_0krpm
0,0.45207078118821165,0.32653122629073184,0.2586302876695863,0.05131270108673852,0.4829506081608717,0.04909939921743145,0.10101249442734256,0.010478253768385293,0.5
1,0.5,0.09456745424755941,0.1943516985474345,0.11983378615566176,0.2522761066290305,0.2501773511544503,0.24519966190040732,0.055243681898835106,0.3685887772399148
2,0.05636205293747265,0.499566423707947,0.2411392544375326,0.1611630328063985,0.20843393715190794,0.48575552121824717,0.01831489652364482,0.07008817061686229,0.3891629255673108
3,0.24566476838722712,0.04383670397076311,0.07535538237790995,0.06953406848917998,0.12027764740992253,0.3832347322698848,0.28560312322420306,0.07399181684027029,0.4939682531949552
4,0.2646962776926802,0.22051894925508725,0.35741262175406185,0.32227376944207803,0.3675878439867754,0.030145166865700734,0.14109768412284918,0.029448033103710913,0.5
5,0.448180636840226,0.3890994706459623,0.46104618632099637,0.1296868835882049,0.05629894590593987,0.2929620040545853,0.12504898112108043,0.034782147729275625,0.3720661273887955
6,0.4165836656282095,0.4660113059581714,0.418934130439219,0.24068842727668982,0.4781125304327635,0.43221222959369177,0.08882452520737594,0.035306876444975765,0.46929201396576936
7,0.18870832850327968,0.4562041411006003,0.04157396354238185,0.276891651056425,0.07253845777007378,0.010246847359097755,0.1116229932058761,0.05173875333662509,0.3867119644778093
8,0.08617219195578929,0.007325940931469155,0.22865375549058986,0.15741913495463056,0.41357407178012706,0.04187924323399639,0.03489482570249941,0.08143953069863358,0.01979151126000539
9,0.17055393566856802,0.35690106048223813,0.3140963604525665,0.3288867408273257,0.460309509296076,0.4294704190461473,0.0480130493480046,0.029651752613801485,0.5
10,0.13671183085599714,0.4585609178140505,0.007482365939820879,0.034534234319984924,0.22056446759093745,0.46862564017207586,0.2714362322548901,0.07402301139163725,0.5
11,0.08247122024096565,0.030631700947404417,0.0024014959548107617,0.24004882003830852,0.45948001578208975,0.39036596981671834,0.12250576041248928,0.04684523551370945,0.23327089601949258
12,0.40777085155839166,0.45158373958446035,0.2561064002573291,0.13772837802615812,0.2109277781810044,0.45148028832482934,0.37612004103188773,0.08845892481966378,0.3227305377799482
13,0.17149810067717908,0.4285536027620082,0.17323761415008188,0.1854847828674997,0.06782252581913284,0.344157387113031,0.19293539121174952,0.035554142820962586,0.4811757243983644
14,0.4332902181205519,0.4454505803982906,0.0867834005889001,0.06760773043032209,0.3841833746848795,0.4332004360255137,0.014982242126731382,0.05067974351024762,0.10976808657558079
15,0.3696423069295834,0.45885125283535433,0.41456597660688266,0.21069706052799092,0.12892129491694282,0.27965830182183593,0.04953029825921207,0.0035695003196593023,0.5
16,0.34424800411851686,0.5,0.16400083814103794,0.12128140599197157,0.2312165175463209,0.33683298937186223,0.36749239088651564,0.002866545614635063,0.44388590962035723
17,0.18907860151987055,0.5,0.4870921078284015,0.21406904970689306,0.4618669583248821,0.4375927736236216,0.09878168525633846,0.023344610279465883,0.15759837869246285
18,0.25740391162458987,0.4337217818560385,0.2345542456183236,0.2912651375221976,0.48369946060322755,0.13502848397175815,0.3016458649510896,0.08372812199536711,0.22576775892291023
19,0.23093663642393703,0.01152386850302356,0.4118084155866859,0.0820874821230465,0.15846924578967958,0.49048004899092834,0.12131391486987309,0.021502402005196264,0.43218483049711887
20,0.4764500875154228,0.5,0.0935839308415427,0.0005096580626826053,0.4877115953358062,0.3629519197287855,0.06422768894092246,0.07387928516936587,0.49637434454210005
21,0.15888392683859864,0.4323474904442123,0.1575238550646657,0.07563154364200231,0.3827353556638425,0.05502555723007918,0.0025906107475895945,0.04071775853383608,0.4369295242313064
22,0.5,0.1445112805696217,0.2647243299689227,0.21256915049001224,0.42836746056749087,0.34568698901999795,0.034386941317933184,0.13475193201678481,0.4896573876807034
23,0.17002498751253758,0.10736301252520664,0.31937436494250815,0.25435080059649307,0.45521795014692057,0.32664526678148254,0.2324473907168062,0.08923049434659247,0.48934003348732547
24,0.4266343439562823,0.3986374893493667,0.37717622682069585,0.19286208146455136,0.08603509910724816,0.42498530467743234,0.12878363942634552,0.009267770372500705,0.5
25,0.04118588606923779,0.017742829378356695,0.2292646675908614,0.20109356047122484,0.4270304033295559,0.0752698586539382,0.1231326932367901,0.11287075183440576,0.46270289338689286
26,0.3222431632675633,0.3469928135484329,0.41237231733312146,0.08732979655936757,0.3934063799615769,0.34868580909005764,0.22911761084838567,0.06234374455178654,0.45964727035352565
27,0.3874450115393975,0.06871623215933709,0.16476525851601165,0.196440990233339,0.17849605767925003,0.2931293005212243,0.07507597005217936,0.020588167768635035,0.4979504040291007
28,0.2028726105917289,0.3352451928926068,0.14496749166654077,0.32056767174132184,0.34937508294418124,0.4475514190429372,0.41318876650320213,0.02602747652803128,0.48501868747079835
29,0.3449453472513926,0.10571496352577647,0.3992468678212254,0.0770446299608305,0.4657867812028073,0.08265341298866213,0.2274659750424518,0.2702731981179257,0.5
30,0.124057169758649,0.35562288243172924,0.1647242158609331,0.09261437740119327,0.2930640173467405,0.11858351836317282,0.15507812959853173,0.029543427404582157,0.3882140121571781
31,0.04471994278741093,0.4301343844447846,0.34323599378559755,0.06927474899029967,0.4733423539888585,0.4731357969487593,0.01718335943933158,0.03830580706354125,0.49821967748095275
32,0.29879812237482894,0.0843228174375168,0.27047433857095304,0.2995914558073851,0.2005387484860991,0.25151180213916124,0.06062986511124596,0.209664134226896,0.5
33,0.4756962751631083,0.18425733635336272,0.35542801433160764,0.39508869600195873,0.2091266629814778,0.3338652530606906,0.18613979089641025,0.05953219039557156,0.44598817539029567
34,0.17864562309617937,0.33088427777359586,0.25978046333148563,0.29426002910337196,0.11756505194354028,0.19812722326160304,0.0529211522502111,0.06102405585020099,0.31021231151423445
35,0.4752785708858531,0.4778403493181548,0.3868003446093159,0.06910420628788572,0.01389255205428297,0.07484270948809973,0.3435576132454041,0.029684289779316697,0.48280468781100905
36,0.29110989663681197,0.11639900284789018,0.34234715434628893,0.04440384527162755,0.49651882543175674,0.4720044698128718,0.0444750488393853,0.1550044373720605,0.44568597400958687
37,0.35938303429595575,0.23379026649092383,0.23035553801884112,0.14150274917497496,0.05256719923224551,0.25638132627281807,0.21539127107321393,0.060954996838336384,0.4358705912329046
38,0.4969658694569181,0.3012276751837907,0.09283636472811069,0.07026490068184721,0.22646521014588883,0.4577740224106528,0.3931192343661155,0.02423436499262821,0.008808354715872546
39,0.26360192064899524,0.37774753989356336,0.4355461941011149,0.17510991890416222,0.4889030779353525,0.0730786737813352,0.07613861184383663,0.05931949294193539,0.11210904590603765
40,0.017224407532721808,0.1428364938128407,0.10839607325680134,0.19317501042503255,0.19595350425874197,0.25625122065099504,0.2861683644919564,0.010305855229262972,0.2779819077018125
41,0.3288170860012112,0.17127394068453383,0.27575279014106624,0.03964018723770357,0.10049909246920807,0.18818328737790474,0.1967235614368551,0.024426639291914132,0.5
42,0.01728000597845669,0.06430689385759869,0.04639499845101552,4.7629471268961776e-05,0.11644502628481401,0.30360064933540826,0.019067243485030916,0.03676830619563343,0.5
43,0.3157320718595248,0.20954866168970543,0.4734071039069956,0.2275739695981528,0.066771692843476,0.4754259542638138,0.5,0.0293459975911593,0.5
44,0.05044318114440377,0.36917821745916557,0.10411576895358488,0.08779526675065563,0.47529614866838954,0.2615198870969456,0.13328621477567792,0.06566906628492952,0.4710450475752449
45,0.1788340464129527,0.44982974980995805,0.0438390402225895,0.329049478776548,0.20641796152453917,0.2866048361828172,0.3835707234000313,0.011816533367272064,0.46690251221587487
46,0.17893789397458493,0.2072794831300011,0.08055597886179816,0.06725051024252615,0.11046877400190591,0.08898242863026756,0.15001463213949562,0.012662487257107724,0.4825911350106523
47,0.37327585876376645,0.04563589043046029,0.18077363778656863,0.3377625483357349,0.08193220948203289,0.11125275264181678,0.20230758868656484,0.009392566061521612,0.28722453045289
48,0.28742015528597775,0.405580520979133,0.19024567370254175,0.28630223690298817,0.41579737166919295,0.38753143465340323,0.0694649683314249,0.03296290451575756,0.42328009044531884
49,0.25034257122129505,0.32747379033723534,0.36006698537274995,0.002097431321428589,0.11574068074154675,0.2557152374799643,0.161303592121804,0.02541911768536409,0.26737861400843654
50,0.3249363500144503,0.5,0.4119622501564023,0.15806760395864283,0.4230921434282495,0.4178859302677018,0.204331281233889,0.001399339355613427,0.44331690647234767
